model,config,workload,input_mean,output_mean,total_latency_ms,avg_request_latency_ms,request_throughput_req_s,system_output_throughput_tok_s,token_output_speed_tok_s,avg_ttft_ms,avg_tpot_ms,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,gpu_util_peak_pct,gpu_memory_used_peak_mb,gpu_power_peak_w
Qwen2.5-7B,W4A16_AWQ_FP8KV,short_in_short_out,256,256,21501.34,2150.11,0.4651,130.04,133.28,59.51,7.503,58.12,64.9,64.9,64.9,7.52,7.62,7.62,7.62,99.0,22455.0,389.74
Qwen2.5-7B,W4A16_AWQ_FP8KV,long_in_short_out,2564,256,34038.53,3403.83,0.2938,82.14,97.14,535.15,10.296,529.72,585.2,585.2,585.2,10.279,10.444,10.444,10.444,100.0,22456.0,385.5
Qwen2.5-7B,W4A16_AWQ_FP8KV,short_in_long_out,256,2564,250374.29,25037.39,0.0399,109.76,110.01,59.46,9.091,57.44,65.1,65.1,65.1,9.114,9.165,9.165,9.165,100.0,22456.0,389.11
Qwen2.5-7B,W4A16_AWQ_FP8KV,long_in_long_out,2564,2564,324580.58,32458.01,0.0308,84.67,86.1,539.48,11.617,539.13,588.2,588.2,588.2,11.594,11.859,11.859,11.859,100.0,22456.0,382.01
Qwen2.5-14B,W8A16,short_in_short_out,256,256,57556.99,5755.67,0.1737,48.58,49.52,125.05,20.206,134.32,154.77,154.77,154.77,20.098,21.126,21.126,21.126,100.0,23582.0,390.25
Qwen2.5-14B,W8A16,long_in_short_out,2564,256,67744.83,6774.46,0.1476,41.27,48.63,1044.79,20.565,1031.9,1137.18,1137.18,1137.18,20.586,20.678,20.678,20.678,100.0,23443.0,389.73
Qwen2.5-14B,W8A16,short_in_long_out,256,2564,553629.13,55362.87,0.0181,49.64,49.73,116.0,20.11,105.8,133.02,133.02,133.02,20.12,20.137,20.137,20.137,100.0,23443.0,390.08
Qwen2.5-14B,W8A16,long_in_long_out,2564,2564,587303.53,58730.31,0.017,46.79,47.64,1058.18,20.992,1043.51,1153.13,1153.13,1153.13,20.981,21.076,21.076,21.076,100.0,23443.0,389.94
Qwen2.5-14B,W8A16_INT8KV,short_in_short_out,256,256,55551.73,5555.15,0.18,50.33,51.22,116.34,19.522,107.68,131.97,131.97,131.97,19.527,19.547,19.547,19.547,100.0,23441.0,390.38
Qwen2.5-14B,W8A16_INT8KV,long_in_short_out,2564,256,69108.44,6910.82,0.1447,40.46,47.62,1060.31,20.999,1051.3,1151.38,1151.38,1151.38,21.007,21.024,21.024,21.024,100.0,23441.0,389.64
Qwen2.5-14B,W8A16_INT8KV,short_in_long_out,256,2564,561698.58,56169.81,0.0178,48.93,49.01,116.34,20.403,108.19,131.66,131.66,131.66,20.417,20.439,20.439,20.439,100.0,23441.0,390.26
Qwen2.5-14B,W8A16_INT8KV,long_in_long_out,2564,2564,604126.61,60412.62,0.0166,45.49,46.29,1061.99,21.603,1051.49,1156.95,1156.95,1156.95,21.606,21.705,21.705,21.705,100.0,23441.0,389.64
Qwen2.5-14B,W8A8_SQ,short_in_short_out,256,256,55534.36,5553.42,0.1801,50.35,50.65,52.86,19.744,47.13,63.17,63.17,63.17,19.749,19.772,19.772,19.772,100.0,23455.0,385.57
Qwen2.5-14B,W8A8_SQ,long_in_short_out,2564,256,61443.22,6144.3,0.1628,45.51,48.6,411.74,20.576,397.07,447.82,447.82,447.82,20.605,20.671,20.671,20.671,100.0,23455.0,385.14
Qwen2.5-14B,W8A8_SQ,short_in_long_out,256,2564,553412.69,55341.22,0.0181,49.66,49.69,52.88,20.125,47.46,63.48,63.48,63.48,20.127,20.151,20.151,20.151,100.0,23455.0,387.64
Qwen2.5-14B,W8A8_SQ,long_in_long_out,2564,2564,579992.68,57999.23,0.0172,47.38,47.71,412.51,20.961,397.89,448.46,448.46,448.46,20.975,21.031,21.031,21.031,100.0,23455.0,388.14
Qwen2.5-14B,W8A8_SQ_INT8KV,short_in_short_out,256,256,55540.62,5554.04,0.18,50.34,50.64,52.79,19.746,46.87,63.09,63.09,63.09,19.74,19.776,19.776,19.776,100.0,23455.0,385.42
Qwen2.5-14B,W8A8_SQ_INT8KV,long_in_short_out,2564,256,63096.55,6309.63,0.1585,44.31,47.21,407.7,21.184,396.59,446.56,446.56,446.56,21.188,21.207,21.207,21.207,100.0,23455.0,388.81
Qwen2.5-14B,W8A8_SQ_INT8KV,short_in_long_out,256,2564,566114.53,56611.41,0.0177,48.54,48.57,54.16,20.587,47.25,68.41,68.41,68.41,20.587,20.615,20.615,20.615,100.0,23455.0,389.21
Qwen2.5-14B,W8A8_SQ_INT8KV,long_in_long_out,2564,2564,601988.33,60198.79,0.0166,45.65,45.95,408.65,21.763,399.85,445.86,445.86,445.86,21.76,21.865,21.865,21.865,100.0,23455.0,389.57
Qwen2.5-14B,W4A16,short_in_short_out,256,256,33945.52,3394.53,0.2946,82.37,84.83,110.25,11.788,104.92,120.13,120.13,120.13,11.793,11.814,11.814,11.814,100.0,22837.0,389.72
Qwen2.5-14B,W4A16,long_in_short_out,2564,256,45423.01,4542.28,0.2202,61.55,79.36,1031.13,12.602,1025.15,1121.19,1121.19,1121.19,12.616,12.695,12.695,12.695,100.0,22837.0,389.83
Qwen2.5-14B,W4A16,short_in_long_out,256,2564,335183.85,33518.35,0.0298,81.99,82.24,110.49,12.16,105.49,120.57,120.57,120.57,12.171,12.18,12.18,12.18,100.0,22837.0,390.1
Qwen2.5-14B,W4A16,long_in_long_out,2564,2564,367347.64,36734.72,0.0272,74.81,76.95,1031.09,12.996,1021.39,1122.33,1122.33,1122.33,12.992,13.073,13.073,13.073,100.0,22837.0,389.77
Qwen2.5-14B,W4A16_INT8KV,short_in_short_out,256,256,33808.18,3380.8,0.2958,82.7,85.19,110.53,11.739,105.21,120.97,120.97,120.97,11.735,11.799,11.799,11.799,100.0,22835.0,389.83
Qwen2.5-14B,W4A16_INT8KV,long_in_short_out,2564,256,47195.99,4719.58,0.2119,59.24,75.59,1033.89,13.229,1025.72,1122.27,1122.27,1122.27,13.224,13.285,13.285,13.285,100.0,22835.0,389.5
Qwen2.5-14B,W4A16_INT8KV,short_in_long_out,256,2564,347794.98,34779.46,0.0288,79.02,79.24,110.49,12.619,104.85,120.97,120.97,120.97,12.62,12.652,12.652,12.652,100.0,22835.0,390.14
Qwen2.5-14B,W4A16_INT8KV,long_in_long_out,2564,2564,389966.78,38996.64,0.0256,70.47,72.37,1035.4,13.817,1026.29,1124.88,1124.88,1124.88,13.818,13.911,13.911,13.911,100.0,22835.0,389.72
Qwen2.5-14B,W4A16_AWQ,short_in_short_out,256,256,36003.23,3600.3,0.2778,77.66,79.93,114.48,12.512,109.83,124.41,124.41,124.41,12.517,12.67,12.67,12.67,100.0,22853.0,389.7
Qwen2.5-14B,W4A16_AWQ,long_in_short_out,2564,256,48071.5,4807.13,0.208,58.16,74.63,1073.36,13.401,1062.07,1168.18,1168.18,1168.18,13.4,13.56,13.56,13.56,100.0,22853.0,389.69
Qwen2.5-14B,W4A16_AWQ,short_in_long_out,256,2564,355497.42,35549.7,0.0281,77.31,77.53,114.46,12.898,109.69,124.6,124.6,124.6,12.893,12.966,12.966,12.966,100.0,22853.0,390.0
Qwen2.5-14B,W4A16_AWQ,long_in_long_out,2564,2564,388634.67,38863.42,0.0257,70.71,72.7,1075.28,13.755,1062.95,1168.97,1168.97,1168.97,13.76,13.84,13.84,13.84,100.0,22853.0,389.64
Qwen2.5-14B,W4A16_AWQ_FP8KV,short_in_short_out,256,256,39411.17,3941.09,0.2537,70.94,72.88,118.01,13.721,112.76,129.13,129.13,129.13,13.723,13.838,13.838,13.838,100.0,22831.0,388.96
Qwen2.5-14B,W4A16_AWQ_FP8KV,long_in_short_out,2564,256,62855.46,6285.52,0.1591,44.48,53.38,1065.17,18.736,1055.74,1158.34,1158.34,1158.34,18.708,18.968,18.968,18.968,100.0,22829.0,390.22
Qwen2.5-14B,W4A16_AWQ_FP8KV,short_in_long_out,256,2564,456876.28,45687.58,0.0219,60.15,60.3,119.65,16.584,120.37,130.84,130.84,130.84,16.616,16.692,16.692,16.692,100.0,22833.0,389.45
Qwen2.5-14B,W4A16_AWQ_FP8KV,long_in_long_out,2564,2564,589350.44,58934.99,0.017,46.63,47.49,1069.87,21.06,1058.11,1163.1,1163.1,1163.1,21.009,21.508,21.508,21.508,100.0,23010.0,389.61
Mistral-7B-v0.3,W16A16,short_in_short_out,256,256,50315.88,5031.57,0.1987,55.57,56.34,86.83,17.749,84.82,93.14,93.14,93.14,17.749,17.77,17.77,17.77,100.0,23291.0,389.73
Mistral-7B-v0.3,W16A16,long_in_short_out,2564,256,59306.89,5930.67,0.1686,47.14,54.57,825.42,18.324,818.41,896.78,896.78,896.78,18.335,18.385,18.385,18.385,100.0,23291.0,389.88
Mistral-7B-v0.3,W16A16,short_in_long_out,256,2564,496049.76,49604.94,0.0202,55.4,55.48,86.88,18.024,85.23,93.13,93.13,93.13,18.03,18.039,18.039,18.039,100.0,23291.0,390.33
Mistral-7B-v0.3,W16A16,long_in_long_out,2564,2564,517874.4,51787.4,0.0193,53.07,53.91,827.71,18.549,819.8,899.71,899.71,899.71,18.549,18.579,18.579,18.579,100.0,23291.0,389.78
Mistral-7B-v0.3,W16A16_INT8KV,short_in_short_out,256,256,50160.29,5016.01,0.1994,55.74,56.49,84.07,17.702,82.01,89.63,89.63,89.63,17.704,17.72,17.72,17.72,100.0,23289.0,389.42
Mistral-7B-v0.3,W16A16_INT8KV,long_in_short_out,2564,256,59968.01,5996.78,0.1668,46.62,53.57,795.9,18.668,788.6,864.32,864.32,864.32,18.671,18.68,18.68,18.68,100.0,23289.0,389.85
Mistral-7B-v0.3,W16A16_INT8KV,short_in_long_out,256,2564,503006.72,50300.63,0.0199,54.64,54.71,84.53,18.278,82.79,89.69,89.69,89.69,18.282,18.302,18.302,18.302,100.0,23289.0,389.82
Mistral-7B-v0.3,W16A16_INT8KV,long_in_long_out,2564,2564,531167.01,53116.66,0.0188,51.74,52.51,796.11,19.044,789.56,864.43,864.43,864.43,19.04,19.111,19.111,19.111,100.0,23289.0,389.92
Mistral-7B-v0.3,W16A16_FP8KV,short_in_short_out,256,256,52207.83,5220.76,0.1915,53.56,54.28,87.84,18.423,85.99,93.47,93.47,93.47,18.419,18.49,18.49,18.49,100.0,23303.0,390.38
Mistral-7B-v0.3,W16A16_FP8KV,long_in_short_out,2564,256,69466.6,6946.63,0.144,40.25,45.38,807.28,22.035,800.03,876.54,876.54,876.54,22.014,22.193,22.193,22.193,100.0,23303.0,390.06
Mistral-7B-v0.3,W16A16_FP8KV,short_in_long_out,256,2564,564219.5,56421.9,0.0177,48.71,48.77,88.11,20.504,86.34,93.64,93.64,93.64,20.517,20.573,20.573,20.573,100.0,23303.0,390.51
